Open Time,Open,High,Low,Close,Quote Asset Volume,Open Interest (USD),LSRatio,FearGreedIndex,TwitterIndex
2024-08-16 00:00:00,518.86,524.32,509.63,519.47,274675156.6489,18331907.47,1.2257,27.0,50.0
2024-08-17 00:00:00,519.47,547.9,518.2,541.81,255976020.3846,21234839.97,1.2143,25.0,50.0
2024-08-18 00:00:00,541.81,542.58,530.86,531.28,184967870.1719,20818008.92,1.2148,31.0,50.0
2024-08-19 00:00:00,531.27,561.18,529.0,558.77,386393973.9293,20831545.66,1.2217,28.0,50.0
2024-08-20 00:00:00,558.76,574.88,558.27,569.37,503114257.4217,24564603.02,1.1725,30.0,50.0
2024-08-21 00:00:00,569.38,574.76,545.85,569.79,445457368.9253,23106917.51,1.172,26.0,50.0
2024-08-22 00:00:00,569.79,589.5,559.03,582.8,502804485.3626,27907750.46,1.2624,39.0,50.0
2024-08-23 00:00:00,582.8,597.87,573.82,591.29,462982119.8413,26451486.23,1.2321,34.0,50.0
2024-08-24 00:00:00,591.28,591.98,575.03,580.43,390015094.8888,26662078.94,1.2472,56.0,50.0
2024-08-25 00:00:00,580.43,583.8,568.0,573.48,288307203.0388,27380867.5,1.2957,54.0,50.0
2024-08-26 00:00:00,573.49,575.21,546.41,548.03,347604093.996,27480766.98,1.2722,55.0,50.0
2024-08-27 00:00:00,548.03,558.21,520.52,533.17,450138391.5572,29937092.34,1.317,48.0,50.0
2024-08-28 00:00:00,533.17,546.76,522.01,537.05,525882526.0958,26554172.92,1.2573,30.0,50.0
2024-08-29 00:00:00,537.05,545.35,530.42,536.31,285765332.7513,27476191.23,1.2366,29.0,50.0
2024-08-30 00:00:00,536.3,543.24,521.57,535.01,312270580.9246,26922856.4,1.2247,34.0,50.0
2024-08-31 00:00:00,535.01,541.22,531.0,532.83,124640596.2346,27842664.65,1.2212,29.0,50.0
2024-09-01 00:00:00,532.84,533.14,507.0,512.05,323611826.144,28033536.63,1.2158,26.0,50.0
2024-09-02 00:00:00,512.06,530.6,501.7,526.41,348376823.0598,29294608.1,1.2227,26.0,50.0
2024-09-03 00:00:00,526.42,538.54,518.0,518.85,324515503.2834,28096399.27,1.1901,26.0,50.0
2024-09-04 00:00:00,518.85,523.83,495.52,507.71,567285286.318,28208874.34,1.1997,27.0,50.0
2024-09-05 00:00:00,507.72,512.71,496.57,502.48,317195103.683,27348113.95,1.2252,29.0,50.0
2024-09-06 00:00:00,502.49,510.19,471.0,487.04,647034337.9533,24296187.3,1.2193,22.0,50.0
2024-09-07 00:00:00,487.05,499.34,482.88,493.37,211073419.9552,22334454.65,1.2543,23.0,50.0
2024-09-08 00:00:00,493.36,507.0,490.67,503.03,258450771.0947,22273722.2,1.2331,29.0,50.0
2024-09-09 00:00:00,503.02,527.61,501.73,518.91,340244646.6656,21594173.58,1.2366,26.0,50.0
2024-09-10 00:00:00,518.91,524.46,513.59,517.22,252289018.717,21447909.47,1.2292,33.0,50.0
2024-09-11 00:00:00,517.23,535.92,506.46,530.37,388808427.7225,21623716.35,1.2686,37.0,50.0
2024-09-12 00:00:00,530.32,548.87,530.06,544.58,445748371.9367,23640618.91,1.208,31.0,50.0
2024-09-13 00:00:00,544.57,559.61,538.43,556.02,388029874.5127,26519253.26,1.2336,32.0,50.0
2024-09-14 00:00:00,556.03,559.14,547.13,553.21,161573160.196,25742102.88,1.2143,50.0,50.0
